Name,Gender,Location,Description
XAAJI,m,Somali,Somali form of HAJI.
XALANE,m,Somali,
XALIIMO,f,Somali,Somali form of HALIMA.
XALWO,f,Somali,"Means ""sweet"" in Somali. It is the name of a Somali dessert."
XAMIID,m,Somali,.
XANAAN,f,Somali,Somali form of Hanan.
XAREED,m,Somali,"Means ""rain"" in Somali."
XASNA,f,Somali,Somali form of HASNA.
XIDIG,m,Somali,"Means ""star"" in Somali."
XIRSI,m,Somali,"This Somali name means ""safeguard."" The word xirsi also means ""safeguard."" The x in Somali is a voiceless pharyngeal fricative, a throaty sound that is not present in English. Somalis outside of Somalia may spell the name as HIRSI or HERSI."
XUSEEN,m,Somali,Somali form of HUSAYN.
YAASMIIN,f,Somali,Somali form of YASMIN.
FAHARI,m,Swahili,"Means ""fame, honour, splendour"" in Swahili."
YACOB,m,Ethiopian,Form of JACOB used in Ethiopia.
YACQUUB,m,Somali,A Somali form of YAQUB.
YAHYE,m,Somali,Somali form of YAHYA.
YAKOBO,m,Swahili,Swahili form of JACOB or JAMES.
YÄM'ATA,m,Eastern African,Ethiopian variant of ADIMATA.
YAR,f,Dinka,Refers to a specific kind of cow in Dinka.
YASHIMMABET,f,Amharic,"Means ""mistress of a thousand"" in Amharic."
FAHMO,f,Somali,"Means ""understanding"" in Somali directly from the Arabic root f-h-m (see FAHIM)."
FAISA,f,Swahili,"Swahili/Arabic, meaning successful/victorious"
FANTA,f,"African, Eastern African, Western African",Mande form of FATIMA.
FARAJA,f,Swahili,"Means ""consolation, comfort"" in Swahili."
FARDOWSA,f,Somali,Somali form of FIRDAUS.
FARHIYA,f,"Swahili, Somali",Variant transcription of FARIHA.
FARTUUN,f,Somali,
YASMIIN,f,Somali,Somali form of YASMIN.
YASO,f,"Eastern African, Central African",
YASOY,m,Eastern African,Potential variant of Youssou.
YAXYE,m,Somali,Somali form of YAHYA. This spelling is used in Somalia.
YAYEHIRAD,f,Amharic,"Means ""may whoever sees you tremble"" in Amharic."
YEALEM TSEHAY,f,Amharic,"Means ""sun of the world"" in Amharic."
YELMA,m,Amharic,"Means ""may he prosper"" in Amharic."
YEMAR,m,Amharic,"Means ""may he be pleasing"" in Amharic."
FASIKA,m,Amharic,"Means ""Easter"" in Amharic."
FASSIL,m,Amharic,"Means ""Ethiopian king"" in Amharic."
FATUMA,f,"Eastern African, Swahili, Amharic, Somali",Eastern African of FATIMA.
FEIVEN,f,Ethiopian,
FEKER,f,Amharic,"Means ""love, affection"" in Amharic."
FELLEKE,m,Amharic,"Means ""he glittered"" in Amharic."
FEREDE,m,Amharic,"Means ""he judged"" in Amharic."
YENASU,m,Amharic,"Means ""may they rise"" in Amharic."
YERGU,m,Amharic,"Means ""may they be calm"" in Amharic."
YESHI,f,Amharic,"Means ""for a thousand"". This name is often combined with other names (Yeshi Emebet is an example)."
YESHIEMEBET,f,Amharic,"Means ""mistress of a thousand people"", from a combination of YESHI and EMEBET."
YESINE,f,Amharic,Means “artwork” in Amharic.
YETBARAK,m,Amharic,"Means ""may he be blessed"" in Amharic."
YEWONDWOSSEN,m,Amharic,"Means ""man of the border"" in Amharic."
FESSEHAYE,m,Tigrinya,"Means ""eternal happiness"" in Tigrinya."
FETENE,m,Amharic,"Means ""he is swift"" in Amharic."
FETERA,f,Amharic,"Means ""creative"" in Amharic."
FETHUDIN,m,Ethiopian,
FEWESI,f,Amharic,"Means ""to heal"" in Amharic."
FIKIRI,f,Amharic,"Means ""love"" in Amharic."
FIKRE,f,"Ethiopian, African","Meaning ""my love"" or ""love."""
YIDNEKATCHEW,m,Amharic,"Means ""may he astonish them"" in Amharic."
YIRDAW,m,Amharic,"Means ""may He help him"" in Amharic."
YODIT,f,Ethiopian,Variant of JUDITH. The name of a Beta-Israel Queen also reffered to as GUDIT.
YOHANA,m,Swahili,Swahili form of JOHN.
YOHANE,m,Swahili,Swahili from of JOHN.
YOHANNA,f,"Amharic, Swedish (Rare), Nigerian (Rare), Various","Amharic form of JOHANNA as well as a variant in other languages. In Amharic, this makes it the feminine form of YOHANNES."
FIKRU,m,Amharic,"Means ""his love"" in Amharic."
FILSAN,f,Somali (Rare),The best of her/his age. ... [more]
FITSUM,m,Amharic,"Means ""absolute"" in Amharic."
FRANKLINE,m,"Eastern African (Rare), Nigerian",Variant of FRANKLIN.
FREYHIWOT,f,"Ethiopian, Amharic","Means ""the seed that gave life"" or ""the fruit of life"" in Amharic."
FREZER,f,Amharic,"Means ""fertile"" in Amharic."
FWAYA,m,Luo,"Originated amongst the LUO tribe in Kenya, East Africa. It is said to mean ""Not serious"" or ""Taking things for Granted"". It is also used by the Luhyas in Western province Kenya. But is common in the Nyaurang' Clan of Ugenya in Siaya County... [more]"
YONASANI,m,Kiga,Kiga form of JONATHAN.
YOONIS,m,Somali,Somali form of YUNUS.
YOOXANAA,m,Somali,Somali form of JOHN.
YORDANOS,f,Ethiopian,Amharic form of JORDAN. This is also the name of a river in Lalibela.
YORUSALEM,f,Tigrinya,Tigrinya form of JERUSALEM.
YOSTIMA,f,Ethiopian,"Buried at Daza, virgin daughter of a King. Saint in the Ethiopian/Abyssinian Church's Coptic Calendar."
GABRA,f,Ethiopian,"Ethiopian girl's name, meaning ""The gift of offering"""
GACAYTE,m,Somali,
GADIID,m,Somali (Rare),Its an old Somali name.
GAKUHĨ,f,Kikuyu,"Means ""the short one"" in Kikuyu."
GALAYAX,m,Somali,"Means ""lighthouse"" in Somali."
GALBEYTE,m,Somali,"Means ""in the west"" in Somali."
GANZA,m,Rwandan,"Meaning ""reign"" in Kinyarwanda."
YOSUF,m,Amharic,Amharic form of JOSEPH.
YULITTA,f,"Indonesian (Rare), Eastern African",Variant of JULITTA.
YUNA,f,Eastern African,
ZAHNYA,f,Swahili,
ZAHUR,m,Swahili,"Means ""flower"" in Swahili."
ZAITUN,f,"Indonesian, Malay, Swahili","Means ""olive"" in Indonesian and Malay (also from Swahili zeituni), ultimately derived from Arabic زَيْتُون (zaytūn)."
ZAITUNI,f,"Swahili, Indonesian",Variant of ZAITUN.
GARANG,m,"Dinka, African Mythology","According to the Dinka myths Garang is the First Man, created by Nhialic."
GASHAW,m,Amharic,"Means ""the shield"" in Amharic."
GATHUA,m,Kikuyu,"Means ""the limping one"" in Kikuyu."
GEBIRE’LIWA,f,Amharic,Alternate transcription of GEBRE’ELWA.
GEBRE’ELWA,f,Amharic,Amharic feminine form of GABRIEL.
GEDAMNESH,f,Ethiopian,
GEEDI,m,Somali,
ZAKARYAS,m,Amharic,Amharic form of ZACHARY.
ZAKIYOS,m,Amharic,Amharic form of ZACCHAEUS.
ZAMANU,m,Amharic,"Means ""time, era"" in Amharic."
ZAMZAM,f,"Arabic, Somali, Indonesian","From the name of a well located in Mecca probably meaning ""abundant water"" or ""stop flowing"" in Arabic. According to Islamic tradition, the well was created by ALLAH for HAJAR and her son ISMAIL while they were lost in the desert in search of water.... [more]"
ZANNABACH,f,Amharic,"Means ""she rained"" in Amharic."
ZAWADI,f,Swahili,"It means 'gift, present' in Swahili."
ZAWDITU,f,Amharic,"Means ""the crown"" in Amharic."
GEESI,f,Somali,"Means ""a courageous man, brave, hero"" in Somali."
GELAGILE,m,Amharic,"Means ""I have reconciled"" in Amharic."
GELILA,f,Ethiopian,Tempting beauty
GEMECHU,m,"Eastern African, Oromo","Means ""joy, happiness"" in Oromo."
GENAT,f,Amharic,"Means ""heaven"" in Amharic."
GENET,f,Ethiopian,"Ethiopian name meaning ""paradise"""
MATEYAS,m,Amharic,Amharic form of MATTHIAS.
ZAWE,f,Eastern African,Short form or diminutive of ZAWEDDE.
ZAWEDDE,f,Eastern African,"Means ""princess"" in a language spoken in Uganda."
ZAZI,f,Eastern African,"Means ""fertile"" or ""fruitful"" in Swahili."
ZEFRIN,m,Eastern African (Rare),
ZEGEYE,m,Amharic,"Means ""he delayed"" in Amharic."
ZEITUNI,f,Eastern African,"This name coincides with Swahili zeituni meaning ""olive"", a derivative of Arabic زَيْتُون‎ (zaytūn). This was borne by Zeituni Onyango (1952-2014), a Kenyan-born half-aunt of former American president Barack Obama."
ZELLEKE,m,Amharic,"Means ""he surpassed"" in Amharic."
GENZEBE,f,Ethiopian,
GETACHEW,m,"Eastern African, Amharic","Means ""their lord"", from Amharic ጌታ (géta) ""Lord (Jesus), master""."
GETANEH,m,Amharic,"Means ""you are a lord"" in Amharic."
GETHERA,f,Swahili,"Means ""harvest"" in Swahili."
GIYORGIS,m,Amharic,Amharic form of GEORGE.
GLOVANNA,f,Eastern African,
MATHIUS,m,"Eastern African, English",Variant of MATTHIAS.
MATIWOS,m,"Ethiopian, Amharic","Ethiopian, possibly Amharic verison of MATTHEW"
MATULUMI,m,Kaguru,"Means ""decorations"" in Chikaguru."
MAVUNO,m,Swahili,"Swahili masculine name meaning ""harvest time""."
MAXAHMED,m,Somali,Variant of MAXAMED.
MAXAMAD,m,Somali,Variant of MAXAMED.
MAXAMUD,m,Somali,Somali variant of MUHAMMAD.
ZENABU,m,Amharic,"Means ""the rain"" in Amharic."
ZENDE,m,Swahili,"Means ""strong, firm"" in Swahili."
ZENNASH,f,Amharic,"Means ""your fame"" in Amharic."
ZEREBRUK,m,Ethiopian,Blessed generation or blessed family
ZERESENAY,m,Eastern African,
ZEREZGHI,m,Ethiopian,
ZERIHUN,m,Ethiopian,
GNET,f,"Ethiopian (Modern), Amharic",Variant of GENET.
GOLI,f,Kaguru,"Means ""wealth"" in Chikaguru."
GOMA,f,Swahili,
GORFU,m,Amharic,"Means ""flood"" in Amharic."
GOSHU,m,Amharic,"Means ""buffalo"" in Amharic."
GUDETA,m,Amharic,"Means ""obligation"" in Amharic."
GUDIT,f,"Eastern African, Ge'ez",Ge'ez form of JUDITH.... [more]
MAXAMUUD,m,Somali,Somali form of MOHAMMAD.
MAXBUUB,m,Somali,Somali form of MAHBUB.
MAYEN,m,Dinka,Means a specific kind of ox in Dinka language.
MAYGAAG,m,Somali,"Means ""bath"" in Somali."
MAYOM,m,Dinka,A specific kind of ox in Dinka language.
MBILIME,f,Kaguru,"Means ""runner"" in Chikaguru."
MEBRAHTU,m,Tigrinya,"Means ""His light"" in Tigrinya."
ZERJACOB,m,Ethiopian,"Famously borne by St. ZerJacob, missionary of Ethiopia."
ZEUDI,f,Tigrinya,"Means ""crown"" in Tigrinya. It is the name of the famous 1970 Eritrean-Italian actress Zeudi Araya (1951-)."
ZEWDITU,f,"Eastern African, Amharic","Zewditu is an Amharic word meaning ""the Crown"". Although it was sometimes erroneously Anglicized as JUDITH, it's not a cognate.... [more]"
ZINA,f,Amharic,"Means ""felicity"" in Amharic."
ZUHRI,m,Swahili,"Means ""good looking"" or ""handsome"" in Swahili."
ZULA,m,Tigrinya,"Means ""brilliant"" in Tigrinya.... [more]"
ZUWENA,f,Swahili,"Means ""small and beautiful"" in Swahili."
GUENET,m,Amharic,"Means ""paradise"" or ""garden"" in Amharic."
GULED,m,Somali,
GULED,m,Somali,It means victory after a long struggle
GUOR,m,"Eastern African, Dinka",Meaning unknown. ... [more]
GUREY,m,Somali,"A name that comes from the Somali word gurey, meaning ""left-handed."" This word is usually an adjective, but sometimes a name."
GUULEED,m,Somali,"Means ""victor"" in Somali."
HABEN,f,Tigrinya,"Means ""pride"" in Tigrinya."
MEBRATE,m,Amharic,"Means ""my lamp"" in Amharic."
MEDENE,m,Amharic,"Means ""my redeemer"" in Amharic."
MEDIFERIASH-WORK,f,Amharic,"Means ""your means of being bold is gold"" in Amharic."
MEDIUS,f,"English (African), Eastern African","Borrowed from Latin medius meaning ""middle; half; moderate; indifferent."" It is mostly used in Uganda where, compared to other surrounding countries, it is usually feminine in usage."
MEJ,m,"Gusii, Ibibio (Latinized, Archaic)",Ibibio form of MIKE and Gusii form of MATT.
MEKRE,m,Amharic,"Means ""my advice"" in Amharic."
MELAKU,m,Ethiopian,"Means ""the angel"" in Amharic."
ZWATIE,m,Swahili,"Means ""people of language"" in Swahili."
HABIDO,f,Somali,
HABON,f,"Somali (Rare), Spanish",This name means when everything comes together at the right time and the right place. Beautiful.
HABSADE,m,Somali,"Variant spelling of XAABSADE, which is used outside of Somalia."
HABTE,m,Ethiopian,"According to some sources, Habte means ""treasure/present/wealth/riches of""."
HABTOM,m,Tigrinya (Modern),"Means ""wealthy"" in Tigrinya."
HADITHI,m,Swahili,
HADNET,f,Tigrinya,
MENELIK,m,"Ge'ez, Amharic","Means ""son of the wise man"" in Ge'ez and Amharic. According to the legend Menelik was the first emperor of Ethiopia. In the 10th century BC, he is said to have inaugurated the Solomonic dynasty of Ethiopia, so named because Menelik I is supposed to be the son of the biblical King Solomon of ancient Israel and Makeda, the Ethiopian Queen of Sheba."
MENGISTU,m,"Eastern African, Amharic","Derived from Amharic መንግሥት (mängśtə) or መንግስት (mängstə) meaning ""government""."
MESERET,f,"Eastern African, Amharic","Means ""foundation"" in Amharic."
MESFIN,m,"Eastern African, Amharic","Means ""monarch, noble, prince"" in Amharic."
MESHESHA,m,Amharic,"Means ""refuge"" in Amharic."
MESI,f,Yao (Modern),Modern variant of MIESI.
MESKEREM,f,Ethiopian,"Means ""September"" in Ethiopian."
HAGOS,m,Tigrinya,"Means ""joy"" in Tigrinya."
HAIBA,f,Swahili,"It means charm, grace, beauty in Kiswahili"
HAIL,m,"Eastern African, English (Rare)",
HAILE,m,"Ge'ez, Amharic, Ethiopian","Means ""power, force, strength"" in Ge'ez and Amharic. This was the Ge'ez (baptismal) name of Ethiopian emperor Haile Selassie (1892-1975), who was born as TAFARI Makonnen."
HAILEMARIAM,m,Amharic,
HAKIEM,m,"Ethiopian, Amharic","Means ""doctor"" in Amharic."
HAKIZIMANA,m,"Rwandan, Rundi, African Mythology (Modern)","A name which means ""God saves everything,"" imana being the name of the original Rwandan/Burundian deity and now the modern word for God in all monotheistic usages within Rwanda and Burundi."
MIAZA,f,Ethiopian,
MIESI,f,Yao,"Means ""water"" in Yao."
MINYAHIL,m,"Amharic, Ethiopian",
MIRACH,m,Amharic,"Means ""choice"" in Amharic."
MISRAK,f,Ethiopian,East
MITIKU,m,"Amharic, Ethiopian","Means ""replacement"" in Amharic."
HALIMO,f,Somali,Somali form of HALIMA.
HALISI,f,Swahili,"Means ""genuine"" in Swahili."
HAMELMAL,f,Amharic,"Means ""From The Bible"" or ""The Word""."
HANJA,f,Swahili,"Swahili feminine name meaning ""brown""."
HARAMBEE,m,Swahili,"Means ""all pull together"" in Swahili. It is the official motto of Kenya."
HAWI,f,Ethiopian,Hope
HEKIMA,f,Swahili,"Means ""wisdom"" in Swahili."
MKARKARA,f,Swahili,"Swahili feminine name meaning ""passion flower""."
MOGAD,m,Amharic,"Means ""wave"" in Amharic."
MOGAS,m,Amharic,"Means ""dignity"" in Amharic."
MOGES,m,"Eastern African, Amharic","Means ""charm, elegance, grace"" in Amharic."
MONYYAK,m,Dinka,"Means ""man of the drought"" in Dinka."
MOORGAN,m,Somali,
MPOKI,m,Nyakyusa,"Means ""savior"" in Nyakyusa."
HIBAAQ,f,Somali,"Derived from Arabic هِبَة (hiba) meaning ""gift, grant""."
HIBAQ,f,Somali,Variant transcription of HIBAAQ.
HIDAYA,f,Swahili,"Swahili feminine name meaning ""beautiful""."
HIRSI,m,Somali,"Variant spelling of XIRSI, which is used outside of Somalia."
HIRUTH,f,Ethiopian,
HIWET,f,"Amharic, Ethiopian",Variant transcription of HIWOT.
HOODO,f,Somali,"This name comes from the Somali word hoodo which means ""luck, fortunate."" Somalis outside of Somalia may spell the name as Hodo."
MRIHANI,f,Swahili,Swahili form of REYHAN.
MUGENI,m,Kaguru,"Means ""stranger"" in Chikaguru."
MUGOLI,m,Kaguru,"Means ""rich man"" in Chikaguru."
MUHIYADIIN,m,Somali,
MÚKABI,m,Kikuyu,In Kikuyu maasai intermarriage this name was given to a boy born of that relationship in that referred to the maasai as ukabi
MUKEJUWA,f,Kaguru,"Means ""sun's wife"" in Chikaguru."
IBRAAHIIM,m,Somali,Somali form of ABRAHAM.
IBRAAHIM,m,Somali,Somali form of ABRAHAM.
IBRAAHIN,m,Somali (Archaic),"Somali form of ABRAHAM, now perhaps archaic. This name was borne by Ibraahin Adeer (ruled late 17th century to mid-18th century), the first sultan of the Sultanate of the Geledi, a Somali kingdom that ruled parts of the Horn of Africa from the late 17th century to 1910."
IBRAHIIM,m,Somali (Archaic),"Somali form of ABRAHAM, now perhaps archaic."
IBSITUU,f,"Eastern African, Oromo","Means ""light"" in Oromo."
IDIL,f,Somali,Somali form of IDIL.
IDILI,f,Amharic,"Means ""luck, opportunity"" in Amharic."
MULATU,m,Amharic,"Means ""the abundance"" in Amharic."
MULELE,m,"African, Swahili","""Flying man,"" ""man who flies,"" or ""man of flight."" The prefix ""mu-"" expresses ""man of"" or ""man from"" in the Swahili language. One interpretation would be that this is approximately equal to ""angel,"" but because there are numerous parts of Africa where there are lots of devout Christians, I would lean towards the interpretation ""man who runs quickly."""
MULKI,f,Somali,
MULU,m,Amharic,"Means ""complete, perfect"" in Amharic."
MULUGETA,m,Amharic,"Means ""he is all Lord"" in Amharic."
MUMIMA,f,Somali,
MUNGONGEGE,m,Nyakyusa,"Means ""you should follow me"" in Nyakyusa."
IDIRIS,m,Somali,Somali form of Idris.
IFTIIN,f,Somali,
IIMAAN,f,Somali,Somali form of IMAN. One notable bearer of this name is Somalian-born American model Iman (born 1955).
IMANZI,m,Rwandan,"From the Kinyarwanda word ""umumanzi"", meaning ""righteousness""."
IMARA,f,Swahili,"Means ""strong, firm, stable"" in Swahili."
INIKU,f,Amharic,"Means ""jewel"" in Amharic."
MUNYIKA,m,Kaguru,"Means ""of the bush"" in Chikaguru."
MURINGA,f,Kikuyu,"Means ""a wire"" in Kikuyu."
MURUTHI,m,Kikuyu,"Means ""lion"" in Kikuyu."
MUSE,m,Somali,Somali form of MOSES. This spelling is used outside of Somalia.
MUSIWANDA,m,Kaguru,"Means ""lastborn"" in Chikaguru."
MUSONGWE,m,Kaguru,"Means ""fearless man"" in Chikaguru."
MUSTAFE,m,Somali,Somali form of MUSTAFA.
IRGETU,m,Amharic,"Means ""the calm"" in Amharic."
ISAACK,m,"Dutch, English (Modern, Rare), Eastern African",Variant of ISAAC.
ISAAQ,m,"Somali, English",Variant of ISAAC.
ISACK,m,"Eastern African, English (Modern, Rare)",Variant of ISAAC.
ISAYA,m,Swahili,Swahili form of ISAIAH.
ISAYYAS,m,Amharic,Amharic form of ISAIAH.
MUSTAPHE,m,Somali,Somali form of MUSTAFA.
MUUSE,m,Somali,Somali form of MOSES.
MUXAMMAD,m,Somali,Variant of MAXAMED.
MWAKATUMBULA,m,Nyakyusa,"Means ""son of a heart"" in Nyakyusa."
MWAMINI,f,Swahili,"Means ""honest"" in Swahili."
MWARA,f,Kikuyu,"Means ""the clever one"" in Kikuyu."
ISKINDER,m,Amharic,Amharic form of ALEXANDER.
ISMAACIIL,m,Somali,Somali form of ISHMAEL.
ISMAHAN,f,"Somali, Persian (Rare), Arabic (Rare)",Variant of ASMAHAN. This spelling is more typically used within the Somali diaspora.
ISSACK,m,"Eastern African, Somali, Swahili, English (Modern, Rare)",Somali and Swahili form of ISAAC.
ISSE,m,Somali,.
ISXAAQ,m,Somali,Somali form of ISAAC.
ITANYA,f,Swahili,"Means ""hope"" in Swahili."
MWAURA,m,Kikuyu,To kú aúra means to remove or relieve one of a heavy load.Mostly when a visitor came with a kiondo/load and a person took it off his/her back the remover was the mwauri
MWESIGWA,m,Ganda,
MWEZI,m,Swahili,"Swahili masculine name meaning ""moon"" or ""month""."
NAALEEYE,m,Somali,"Means ""anyway"" in Somali."
NABIRYE,f,Eastern African,Meaning unknown.
NADIFA,f,Somali,Feminine form of NADIF.
NAHOM,m,Eastern African,East African form of NAHUM.
ITURI,m,Swahili,"Means perfume, scent, fragrance in Kiswahili"
ITYOPPYA,f,Amharic (Rare),Rare Amharic form of ETHIOPIA.
IYASSU,m,Ethiopian,Ethiopian form of JOSHUA.
IYASUS,m,Ethiopian,Form of JESUS used in Ethiopia.
IYOB,m,Amharic,Amharic form of JOB.
IZABELI,f,Amharic,Amharic form of ISABEL.
JAAMAC,m,Somali,"Variant spelling of JAMA, which is used in Somalia."
NAISENYA,f,Eastern African,Kenyan name.
NAJUMA,f,Swahili,"Means ""abounding in joy"" in Swahili."
NAKAAYA,f,Eastern African,
NAKI,f,Swahili,the first born girl in the family
NALA,f,"African, Somali, Popular Culture","An African feminine name meaning ""us."" A famous bearer is Nala, Simba's friend (and later wife) from Disney's 'The Lion King'."
NANTIO,f,"Eastern African, Rendille",
NARDOS,f,"Ethiopian, Biblical, Spanish","""An amazing scent. Appears in the bible as a perfume used on Jesus.""... [more]"
JAKUBU,m,Kikuyu,Kikuyu form of JAMES.
JAMA,m,Somali,"Usually given to boys born on the blessed Islamic day of Friday (jumu’ah). It is a common Somali male given name and typically, it is found in the Northern regions of Greater Somalia."
JANA,f,Swahili,"Means ""yesterday"" in Swahili."
JASIRI,f,Swahili,"Means ""bold, courageous"" in Swahili."
JAWAAHIR,f,Somali,"Somali form of JAWAHIR. One bearer is Somali-American model Jawaahir Axmed (born 1991), better known by her Americanized name of Jawahir Ahmed."
JEMAL,m,"Abkhaz, Amharic, Georgian","Abkhaz, Amharic and Georgian form of JAMAL."
JEMBER,f,Amharic,
NASHIPIE,f,Swahili,"This is a Maasai name given to young girls, meaning ""joy"""
NASI,f,Amharic,"Means ""brass"" in Amharic."
NASTEEXO,f,Somali,"A name from the word meaning ""advice, counsel."""
NASTEHO,f,Somali,"Means ""advice"" or ""counsel"" in Somali."
NATHARI,f,Swahili,"Means ""prose"" in Swahili."
NATNAEL,m,"Eastern African, Amharic",Amharic form of NATHANIEL.
NAYFA,f,Swahili,"Means ""benefit"" in Swahili."
JEMERE,m,Amharic,"Means ""he began"" in Amharic."
JIBRIIL,m,Somali,Somali form of GABRIEL.
JIINOW,m,Somali,
JINA,f,Swahili,"Means ""to walk"" in Swahili."
JIRA,m,Ethiopian,
JOHANI,m,Nyakyusa,Nyakyusa form of JOHN.
JOHNSON,m,"English, Eastern African",Transferred use of the surname JOHNSON.
NDABITI,m,Nyamwezi,Nyakyusa form of DAVID.
NDIANE,m,Kaguru,"Means ""I have eaten with them"" in Chikaguru."
NDIGWAKO,f,Nyakyusa,"Means ""I am yours"" in Nyakyusa."
NDIMBUNI,f,Nyakyusa,"Means ""I am saved"" in Nyakyusa."
NEBIRI,f,Amharic,"Means ""leopard"" in Amharic."
NEEMA,f,"African, Eastern African, Western African","Swahili name meaning ""divine grace"", common in East Africa.... [more]"
NEGASH,m,Amharic,"Means ""one who rules"" in Amharic."
JOSEPHAT,m,Eastern African,Variant of JEHOSOPHAT.
JOSWA,m,Nyakyusa,Nyakyusa form of JOSHUA.
JUDISHY,m,"Kikuyu (Anglicized, Rare)",
JUMA,m,"Arabic, Swahili","Means ""Friday"" in Arabic."
KAARI,f,"Eastern African (Rare), Ameru",The name kaari is a name popular used among the Ameru (Meru) community of Kenya. The name is given to a child named after a younger sister of one of the parents. It is especially given by the grandparents... [more]
KABINDA,m,Luhya,Derived from  binda meaning 'to enclose doorway with posts'. This name is traditionally given to the last child.
KADESHA,f,"Swahili, Muslim, African American",
NEGASI,m,Ethiopian,The meaning of Negasi is ‘he will wear a crown’.
NEGATU,m,Amharic,"Means ""the dawn"" in Amharic."
NEGESE,m,Amharic,"Means ""he ruled"" in Amharic."
NEGEWO,m,Amharic,"Means ""your dawn"" in Amharic."
NEGUS,m,"African American, Tigrinya","Means ""king"" in Tigrinya."
NEGUSE,m,Amharic,"Means ""my king"" in Amharic."
NELAH,f,Swahili (Rare),Gift with purpose. Composition if Nia (meaning purpose) and Nala (meaning gift)
KADIHUNGILA,m,Kaguru,"Means ""surprised"" in Chikaguru."
KAHINU,m,"Eastern African, Ge'ez, Amharic, Tigrinya","Means ""clergyman"" in Ge'ez and other Ethiopic languages."
KAKUJU,m,Nyakyusa,"Means ""ficus tree"" in Nyakyusa."
KAKWANZI,f,Tooro,
KALIFA,f,Somali,"Means ""chaste, holy"" in Somali."
KALKIDAN,f,Amharic,
KALUWA,f,Swahili,"Means ""forgotten one"" in Swahili."
NELUGENDO,f,Kaguru,"Means ""traveller"" in Chikaguru."
NEMARIAM,m,Ethiopian,
NESUHA,f,Ethiopian,"Possible from an Arabic root nasuh which means something like sincerity, often found in the religious context taubat-an-nasuha meaning sincere return or repentance."
NGAMIA,m,Swahili,"Means ""camel"" in Swahili."
NGENI,m,Swahili,"Means ""stranger"" in Swahili."
NGHAMINYIGWE,m,Kaguru,"Means ""he who is unknown"" in Chikaguru."
NGHENAKWE,m,Kaguru,"Means ""one who sees on his own"" Chikaguru."
KAMARI,m,"Eastern African, Swahili, African American",Variant of KAMARIA.
KAOMBWE,f,Swahili,
KARUGENDO,m,Haya,"Means ""pertaining to a journey"" in Ruhaya."
KASHANGAKI,m,Swahili,"Means ""surprise"" in Swahili."
KASKAZI,f,Swahili,"Swahili feminine name meaning ""north wind"" or ""hot season, summer""."
